chapter_id,chapter_name,url
第1章,算法设计与分析基础,/downloads/ppt/ch_1.pdf
第2章,分治法,/downloads/ppt/ch_2.pdf
第3章,减治法,/downloads/ppt/ch_3.pdf
第4章,贪心法,/downloads/ppt/ch_4.pdf
第5章,动态规划法,/downloads/ppt/ch_5.pdf
第6章,回溯法,/downloads/ppt/ch_6.pdf
第7章,分支限界法,/downloads/ppt/ch_7.pdf
第8章,分类算法,/downloads/ppt/ch_8.pdf
第9章,聚类算法,/downloads/ppt/ch_9.pdf
第10章,异常检测算法,/downloads/ppt/ch_10.pdf
第11章,频繁模式挖掘算法,/downloads/ppt/ch_11.pdf
第12章,链接分析算法,/downloads/ppt/ch_12.pdf
第13章,概率推理算法,/downloads/ppt/ch_13.pdf
第14章,人工神经网络和深度学习概述,/downloads/ppt/ch_14.pdf
第15章,降维算法,/downloads/ppt/ch_15.pdf
第16章,目标检测算法,/downloads/ppt/ch_16.pdf
第17章,问答系统算法,/downloads/ppt/ch_17.pdf
第18章,图分析算法,/downloads/ppt/ch_18.pdf
